Artikelnummer;Oud artikelnummer;Status;PIB naam NL;PIB naam FR;PIB ondertitel NL;PIB ondertitel FR;Samenstelling NL;Samenstelling FR;Benaming prijslijst NL;Benaming prijslijst FR;Productnorm;Type kort;Type lang NL;Type lang FR;Reactie bij brand;Reactie bij brand Norm;DOP Nummer;Kantvorm;Dikte;Breedte;Lengte;Dikte isolatie;Totale dikte;Oppervlaktegewicht;Thermische geleidbaarheid l;Thermische geleidb. isolatie l;Lineaire uitzettings-coëfficiënt tgv temp;Lin.uitz.temp. VW NL;Lin.uitz.temp. VW FR;Waterdampdiffusie-weerstandsgetal ?;Waterdampdiffusie-weerst. isolatie ?;Waterdampdiffusie-weerstand ?d;Lineaire uitzettings-coëfficiënt tgv RV;Lin.uitz.vocht VW NL;Lin.uitz.vocht VW FR;Basishoeveelheidseenheid;EAN;EAN Eenheid;Intrastatnummer;DOP URL NL;DOP URL FR;PIB URL NL;PIB URL FR;Image;
L10303A4121;(blanco);NIEUW;X Plus;X Plus;Eenlaagse spuitpleister;Plâtre à projeter - Monocouche;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;X Plus;X Plus;NBN EN 13279-1:2009;B4/50/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;3496252011302;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L10303A4121&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L10303A4121&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=L10303A4121&TYPE=IMG;
L1030300000;(blanco);NIEUW;X Plus;X Plus;Eenlaagse spuitpleister;Plâtre à projeter - Monocouche;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;X Plus;X Plus;NBN EN 13279-1:2009;B4/50/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);TO;3496252011388;TO;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L1030300000&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L1030300000&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=L1030300000&TYPE=IMG;
L10300A4122;(blanco);NIEUW;X L;X L;Eenlaagse spuitpleister;Plâtre à projeter - Monocouche;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;X L;X L;NBN EN 13279-1:2009;B4/50/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;3496252010237;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L10300A4122&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L10300A4122&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=L10300A4122&TYPE=IMG;
L1030000000;(blanco);NIEUW;X L;X L;Eenlaagse spuitpleister;Plâtre à projeter - Monocouche;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;X L;X L;NBN EN 13279-1:2009;B4/50/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);TO;3496252011364;TO;25202010;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L1030000000&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L1030000000&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=L1030000000&TYPE=IMG;
L10275A4121;(blanco);NIEUW;X Pro;X Pro;Eenlaagse spuit- en handpleister voor algemene pleisterwerken;Plâtre à projeter ou manuel - Monocouche;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;X Pro;X Pro;NBN EN 13279-1:2009;B4/50/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;3496250207165;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L10275A4121&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L10275A4121&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=L10275A4121&TYPE=IMG;
L10275A0000;(blanco);NIEUW;X Pro;X Pro;Eenlaagse spuit- en handpleister voor algemene pleisterwerken;Plâtre à projeter ou manuel - Monocouche;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;X Pro;X Pro;NBN EN 13279-1:2009;B4/50/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);TO;3496250247314;TO;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L10275A0000&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L10275A0000&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=L10275A0000&TYPE=IMG;
G131328;G124627;NIEUW;Sprylith;Sprylith;Grondlaag voor tweelaagse bepleistering;Couche de base pour plafonnage à double couche;Gecalcineerd gips, verlicht met vermiculiet en aangevuld met additieven;Gypse calciné, allégé de vermiculite et enrichi d’additifs;Sprylith;Sprylith;NBN EN 13279-1:2009;B4/20/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;5413218563178;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE01E001E034_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE01E001E034_FR.pdf;http://www.gyproc.be/downloadpib?PIB=G131328&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G131328&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G131328&TYPE=IMG;
G124628;G124628;NIEUW;Sprylith;Sprylith;Grondlaag voor tweelaagse bepleistering;Couche de base pour plafonnage à double couche;Gecalcineerd gips, verlicht met vermiculiet en aangevuld met additieven;Gypse calciné, allégé de vermiculite et enrichi d’additifs;Sprylith;Sprylith;NBN EN 13279-1:2009;B4/20/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);TO;5413218565875;TO;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE01E001E034_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE01E001E034_FR.pdf;http://www.gyproc.be/downloadpib?PIB=G124628&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=G124628&TYPE=PDFFR;http://www.gyproc.be/downloadpib?PIB=G124628&TYPE=IMG;
L10019A4121;(blanco);NIEUW;Platrex;Platrex;Afwerklaag voor tweelaagse bepleistering;Couche de finition pour plafonnage à double couche;Gecalcineerd gips aangevuld met additieven;Gypse calciné enrichi d'additifs;Platrex;Platrex;NBN EN 13279-1:2009;B4/20/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;3496252009989;ZAK;25202010;http://www.gyproc.be/downloaddop?DOP=PEM_601_NL.pdf;http://www.gyproc.be/downloaddop?DOP=PEM_601_FR.pdf;;;http://www.gyproc.be/downloadpib?PIB=L10019A4121&TYPE=IMG;
L10301A4121;(blanco);NIEUW;Express;Express;Snelhardend handgips voor kleine werken en herstellingen;Plâtre manuel à prise rapide pour petits travaux de plafonnage et réparations;Gecalcineerd gips, verlicht met perliet en aangevuld met additieven;Gypse calciné, allégé de perlite et enrichi d'additifs;Express;Express;NBN EN 13279-1:2009;B4/20/2;lichtgewicht gips-bouwpleister;enduit au plâtre allégé;A1;NBN EN 13279-1:2009;;(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);(blanco);0,34;(blanco);(blanco);(blanco);(blanco);6;--;--;(blanco);(blanco);(blanco);ZAK;3496252011289;ZAK;25202000;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_NL.pdf;http://www.gyproc.be/downloaddop?DOP=SG_GY_2013_E5EAE03_FR.pdf;http://www.gyproc.be/downloadpib?PIB=L10301A4121&TYPE=PDFNL;http://www.gyproc.be/downloadpib?PIB=L10301A4121&TYPE=PDFFR;;
