code;label-fr_BE;label-en_US;label-nl_BE;allowed_extensions;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
sku;Code unique;SKU;Unieke code;;;;;0;;general;0;;;;0;0;;;;0;0;pim_catalog_identifier;1;1;;;0
image_1;Image 1;;Hoofdafbeelding;;;;;0;;assets;0;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
image_2;Image 2;;Afbeelding 2;;;;;0;;assets;0;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
image_3;Image 3;;Afbeelding 3;;;;;0;;assets;0;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
bim;BIM;;BIM;;;;;0;;assets;0;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
max_width;Largeur maximale(mm);;Maximale breedte (mm);;;;;0;;measurements;0;;;;0;0;;;;0;40;pim_catalog_number;0;0;;;0
max_height;Hauteur maximale (mm);;Maximale hoogte (mm);;;;;0;;measurements;0;;;;0;0;;;;0;42;pim_catalog_number;0;0;;;0
max_area;Surface maximale (m2);;Maximale oppervlakte (m²);;;;;1;;measurements;0;;;;0;0;;;;0;43;pim_catalog_number;0;0;;;0
description;Description;;Omschrijving;;;;;0;;marketing;1;;;;0;0;;;;0;15;pim_catalog_textarea;0;0;;;0
fixed;Fixe;;Vast;;;;;0;;general;0;;;;0;0;;;;0;92;pim_catalog_boolean;0;0;;;0
dynamic;Dynamique;;Dynamisch;;;;;0;;general;0;;;;0;0;;;;0;93;pim_catalog_boolean;0;0;;;0
height_case;Hauteur du caisson(mm);;Hoogte kast (mm);;;;;0;;measurements;0;;;;0;0;;;;0;0;pim_catalog_number;0;0;;;0
depth_case;Profondeur du caisson(mm);;Diepte kast (mm);;;;;0;;measurements;0;;;;0;0;;;;0;21;pim_catalog_number;0;0;;;0
min_width;Largeur minimale (mm);;Minimum breedte (mm);;;;;0;;measurements;0;;;;0;0;;;;0;39;pim_catalog_number;0;0;;;0
min_height;Hauteur minimale (mm);;Minimum hoogte (mm);;;;;0;;measurements;0;;;;0;0;;;;0;41;pim_catalog_number;0;0;;;0
wind_resistance;Résistance au vent garantie en position fermée (km/h);;Gegarandeerde windweerstand in gesloten stand (Km/h);;;;;0;;technical_properties;0;;;;0;0;;;;0;56;pim_catalog_number;0;0;;;0
ce_certified;Certifié CE;;CE-gekeurd;;;;;0;;technical_properties;0;;;;0;0;;;;0;54;pim_catalog_boolean;0;0;;;0
screen_b92;Toile occultante en polyester B92;;Doek blackout polyester B92;;;;;0;;screen;0;;;;0;0;;;;0;10;pim_catalog_boolean;0;0;;;0
screen_fiberglass;Toile en fibre de verre;;Glasvezeldoek;;;;;0;;screen;0;;;;0;0;;;;0;0;pim_catalog_boolean;0;0;;;0
screen_isr;Toile moustiquaire ISR;;Insectenscreen ISR;;;;;0;;screen;0;;;;0;0;;;;0;8;pim_catalog_boolean;0;0;;;0
screen_cristal;Toile avec fenêtre Crystal;;Glasvezeldoek met crystalvenster;;;;;0;;screen;0;;;;0;0;;;;0;1;pim_catalog_boolean;0;0;;;0
screen_polyester;Toile polyester Rensonscreen;;Polyesterdoek Rensonscreen;;;;;0;;screen;0;;;;0;0;;;;0;3;pim_catalog_boolean;0;0;;;0
screen_waterproof;Toile polyester Rensonscreen Waterproof;;Polyesterdoek Rensonscreen Waterproof;;;;;0;;screen;0;;;;0;0;;;;0;4;pim_catalog_boolean;0;0;;;0
